Course,Admission_grade,Tuition_fees_up_to_date,Age_at_enrollment,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
171,127.3,1,20,0,0,0.0,0,0,0.0
9254,142.5,0,19,6,6,14.0,6,6,13.666666666666666
9070,124.8,0,19,0,0,0.0,0,0,0.0
9773,119.6,1,20,8,6,13.428571428571429,10,5,12.4
8014,141.5,1,45,9,5,12.333333333333334,6,6,13.0
9991,114.8,1,50,10,5,11.857142857142858,17,5,11.5
9500,128.4,1,18,9,7,13.3,8,8,14.345
9254,113.1,0,22,5,0,0.0,5,0,0.0
9238,129.3,1,21,8,6,13.875,7,6,14.142857142857142
9238,123.0,0,18,9,5,11.4,14,2,13.5
9670,130.6,1,18,6,6,12.333333333333334,7,5,14.2
9500,119.3,1,18,8,7,13.214285714285714,8,7,13.214285714285714
9853,130.2,1,19,6,0,0.0,0,0,0.0
9254,111.8,1,21,7,6,10.571428571428571,8,5,11.0
9085,137.1,1,18,7,4,13.25,5,5,12.0
9773,120.7,1,20,6,5,13.2,7,0,0.0
9500,127.3,1,18,8,7,13.30625,8,8,14.545
9130,136.3,1,20,8,4,12.5,8,4,12.25
171,120.3,1,21,0,0,0.0,0,0,0.0
9500,125.5,1,18,12,7,12.857142857142858,12,7,12.857142857142858
9670,114.9,1,19,8,6,13.375,7,6,12.285714285714286
9500,123.9,1,19,8,6,13.296666666666669,9,7,14.114285714285714
9238,116.4,1,21,9,6,11.375,9,6,13.285714285714286
9147,122.1,1,20,6,5,12.0,6,5,12.333333333333334
9070,130.0,1,20,7,6,12.833333333333334,9,4,13.4
8014,134.5,1,19,6,6,12.666666666666666,8,6,14.375
9991,131.4,1,34,6,5,12.4,9,5,13.428571428571429
33,102.5,0,37,7,0,0.0,7,1,10.0
9119,128.8,1,43,0,0,0.0,0,0,0.0
9147,122.9,1,55,10,1,10.0,8,2,12.0
9991,113.9,1,39,8,5,11.0,5,5,11.6
9130,120.0,0,20,13,3,11.666666666666666,11,3,12.0
9773,121.1,1,18,6,4,12.75,5,0,0.0
9147,120.4,1,22,5,5,14.8,5,5,15.8
9500,100.6,1,22,9,5,13.928,9,7,14.342857142857142
9773,121.4,0,20,7,4,13.0,7,5,13.8
9991,109.7,1,29,0,0,0.0,0,0,0.0
